1|Кинстугхна|Марута, Кету, хоз. 10 дома|Действия, направленные на улучшение здоровья; религиозная деятельность.|Неблагоприятный день для важных дел.|ru
18|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
19|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
20|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
21|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
22|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
23|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
24|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
25|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
26|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
27|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
28|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
29|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
30|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
31|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
32|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
33|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
34|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
35|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
36|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
37|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
38|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
39|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
40|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
41|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
42|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
43|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
44|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
45|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
46|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
47|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
48|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
49|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
50|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
51|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
52|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
53|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
54|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
55|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
56|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
57|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
58|Шакуни|Кали, Раху, Лагнеша|Выполнение действий, направленных на улучшение здоровья; прием медицинских препаратов; чтение мантр.|Неблагоприятный день для важных дел.|ru
59|Чатушпада|Рудра, Кету, хоз. 4 дома|Политика, государственные дела; действия касаемо предков; выполнение религиозных обрядов; животноводство.|Неблагоприятный день для важных дел.|ru
60|Нага|Наги, Раху, хоз. 7 дома|Подходит для жестоких дел, хитрости, злых действий, выполнение работ с неподвижными объектами.|Неблагоприятный день для важных дел. Несет в себе импульс, ведущий к неудачам, враждебности.|ru
